type	id	name	lon	lat	timestamp	n_tags	tag_key	tag_value
node	259547920	Oro Negro La Rotonda servicentros	-82.4538937	23.0926094	2022-07-06 00:38:00+00:00	7	addr:city	La Habana
node	259547920	Oro Negro La Rotonda servicentros	-82.4538937	23.0926094	2022-07-06 00:38:00+00:00	7	addr:street	5ta Avenida
node	259547920	Oro Negro La Rotonda servicentros	-82.4538937	23.0926094	2022-07-06 00:38:00+00:00	7	amenity	fuel
node	259547920	Oro Negro La Rotonda servicentros	-82.4538937	23.0926094	2022-07-06 00:38:00+00:00	7	name	Oro Negro La Rotonda servicentros
node	259547920	Oro Negro La Rotonda servicentros	-82.4538937	23.0926094	2022-07-06 00:38:00+00:00	7	opening_hours	24/7
node	259547920	Oro Negro La Rotonda servicentros	-82.4538937	23.0926094	2022-07-06 00:38:00+00:00	7	operator	Cadena CIMEX
node	259547920	Oro Negro La Rotonda servicentros	-82.4538937	23.0926094	2022-07-06 00:38:00+00:00	7	phone	+53 7 2089617
node	259547985	Servicupet 5ta y 112	-82.4497863	23.0983717	2019-06-15 03:25:29+00:00	7	addr:city	La Habana
node	259547985	Servicupet 5ta y 112	-82.4497863	23.0983717	2019-06-15 03:25:29+00:00	7	addr:street	112 esq 5ta Ave
node	259547985	Servicupet 5ta y 112	-82.4497863	23.0983717	2019-06-15 03:25:29+00:00	7	amenity	fuel
node	259547985	Servicupet 5ta y 112	-82.4497863	23.0983717	2019-06-15 03:25:29+00:00	7	name	Servicupet 5ta y 112
node	259547985	Servicupet 5ta y 112	-82.4497863	23.0983717	2019-06-15 03:25:29+00:00	7	opening_hours	24/7
node	259547985	Servicupet 5ta y 112	-82.4497863	23.0983717	2019-06-15 03:25:29+00:00	7	operator	CIMEX
node	259547985	Servicupet 5ta y 112	-82.4497863	23.0983717	2019-06-15 03:25:29+00:00	7	source	hc
node	259548047	Edificio Raffaello	-82.4411344	23.1070725	2016-02-11 22:27:44+00:00	6	addr:city	La Habana
node	259548047	Edificio Raffaello	-82.4411344	23.1070725	2016-02-11 22:27:44+00:00	6	addr:street	5ta Avenida esq Calle 80
node	259548047	Edificio Raffaello	-82.4411344	23.1070725	2016-02-11 22:27:44+00:00	6	building	residential
node	259548047	Edificio Raffaello	-82.4411344	23.1070725	2016-02-11 22:27:44+00:00	6	name	Edificio Raffaello
node	259548047	Edificio Raffaello	-82.4411344	23.1070725	2016-02-11 22:27:44+00:00	6	office	estate_agent
node	259548047	Edificio Raffaello	-82.4411344	23.1070725	2016-02-11 22:27:44+00:00	6	website	http://www.inmocaribe.co.cu/raffaello/raffaello_detail.htm
node	259548242	Camilo Cienfuegos (Recreacion)	-82.4067799	23.1373244	2015-07-23 19:04:48+00:00	5	addr:city	La Habana
node	259548242	Camilo Cienfuegos (Recreacion)	-82.4067799	23.1373244	2015-07-23 19:04:48+00:00	5	addr:street	1ra
node	259548242	Camilo Cienfuegos (Recreacion)	-82.4067799	23.1373244	2015-07-23 19:04:48+00:00	5	amenity	nightclub
node	259548242	Camilo Cienfuegos (Recreacion)	-82.4067799	23.1373244	2015-07-23 19:04:48+00:00	5	name	Camilo Cienfuegos (Recreacion)
node	259548242	Camilo Cienfuegos (Recreacion)	-82.4067799	23.1373244	2015-07-23 19:04:48+00:00	5	source	hc
node	259548253	Varsovia	-82.401744	23.1297998	2015-07-23 19:04:48+00:00	5	addr:city	La Habana
node	259548253	Varsovia	-82.401744	23.1297998	2015-07-23 19:04:48+00:00	5	addr:street	17 y 12
node	259548253	Varsovia	-82.401744	23.1297998	2015-07-23 19:04:48+00:00	5	amenity	restaurant
node	259548253	Varsovia	-82.401744	23.1297998	2015-07-23 19:04:48+00:00	5	name	Varsovia
node	259548253	Varsovia	-82.401744	23.1297998	2015-07-23 19:04:48+00:00	5	source	hc
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	addr:city	La Habana
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	addr:street	Avendia 23
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	amenity	fuel
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	brand	Cupet
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	brand:wikidata	Q3007579
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	brand:wikipedia	en:Cuba Petróleo Union
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	fuel:octane_95	yes
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	fuel:octane_98	yes
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	name	CUPET 23 y 24
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	self_service	yes
node	259548393	CUPET 23 y 24	-82.4051375	23.1231897	2021-11-27 12:08:57+00:00	11	source	hc;local knowledge
node	259548446	Museo Postal Cubano	-82.3843082	23.1255299	2022-03-24 22:38:23+00:00	7	addr:city	La Habana
node	259548446	Museo Postal Cubano	-82.3843082	23.1255299	2022-03-24 22:38:23+00:00	7	addr:street	Ave. Rancho Boyeros e/ 19 de Mayo y 20 de Mayo
node	259548446	Museo Postal Cubano	-82.3843082	23.1255299	2022-03-24 22:38:23+00:00	7	name	Museo Postal Cubano
node	259548446	Museo Postal Cubano	-82.3843082	23.1255299	2022-03-24 22:38:23+00:00	7	opening_hours	Mo-Fr 09:00-17:00
node	259548446	Museo Postal Cubano	-82.3843082	23.1255299	2022-03-24 22:38:23+00:00	7	phone	+53 (7) 8815551
node	259548446	Museo Postal Cubano	-82.3843082	23.1255299	2022-03-24 22:38:23+00:00	7	source	hc
node	259548446	Museo Postal Cubano	-82.3843082	23.1255299	2022-03-24 22:38:23+00:00	7	tourism	museum
node	259548457	Sylvain Línea y 8	-82.4031838	23.1341503	2021-10-24 19:55:19+00:00	4	addr:city	La Habana
node	259548457	Sylvain Línea y 8	-82.4031838	23.1341503	2021-10-24 19:55:19+00:00	4	addr:street	Línea
node	259548457	Sylvain Línea y 8	-82.4031838	23.1341503	2021-10-24 19:55:19+00:00	4	name	Sylvain Línea y 8
node	259548457	Sylvain Línea y 8	-82.4031838	23.1341503	2021-10-24 19:55:19+00:00	4	shop	bakery
node	259548568	Hotel Habana Riviera	-82.404262	23.1396588	2022-12-15 12:33:16+00:00	28	addr:city	La Habana
